,index,Survived,Age,SibSp,Parch,Fare,weight,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,701,1,35.0,0,0,26.2875,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,848,0,28.0,0,1,33.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2,283,1,19.0,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
3,471,0,38.0,0,0,8.6625,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
4,85,1,33.0,3,0,15.85,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,475,0,,0,0,52.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,266,0,16.0,4,1,39.6875,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
7,110,0,47.0,0,0,52.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8,641,1,24.0,0,0,69.3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,384,0,,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
10,406,0,51.0,0,0,7.75,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
11,480,0,9.0,5,2,46.9,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
12,38,0,18.0,2,0,18.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
13,686,0,14.0,4,1,39.6875,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
14,795,0,39.0,0,0,13.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
15,770,0,24.0,0,0,9.5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
16,48,0,,2,0,21.6792,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
17,24,0,8.0,3,1,21.075,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
18,601,0,,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
19,520,1,30.0,0,0,93.5,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,73,0,26.0,1,0,14.4542,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
21,868,0,,0,0,9.5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
22,674,0,,0,0,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
23,561,0,40.0,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
24,253,0,30.0,1,0,16.1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
25,850,0,4.0,4,2,31.275,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
26,591,1,52.0,1,0,78.2667,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
27,332,0,38.0,0,1,153.4625,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28,355,0,28.0,0,0,9.5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
29,565,0,24.0,2,0,24.15,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
30,273,0,37.0,0,1,29.7,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
31,258,1,35.0,0,0,512.3292,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
32,194,1,44.0,0,0,27.7208,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33,656,0,,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
34,694,0,60.0,0,0,26.55,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35,636,0,32.0,0,0,7.925,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
36,799,0,30.0,1,1,24.15,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
37,350,0,23.0,0,0,9.225,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
38,542,0,11.0,4,2,31.275,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
39,124,0,54.0,0,1,77.2875,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
40,335,0,,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
41,315,1,26.0,0,0,7.8542,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
42,291,1,19.0,1,0,91.0792,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
43,181,0,,0,0,15.05,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
44,78,1,0.83,0,2,29.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
45,36,1,,0,0,7.2292,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
46,256,1,,0,0,79.2,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,427,1,19.0,0,0,26.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
48,84,1,17.0,0,0,10.5,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
49,467,0,56.0,0,0,26.55,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
50,423,0,28.0,1,1,14.4,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
51,756,0,28.0,0,0,7.7958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
52,454,0,,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
53,538,0,,0,0,14.5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
54,169,0,28.0,0,0,56.4958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
55,838,1,32.0,0,0,56.4958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
56,371,0,18.0,1,0,6.4958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
57,98,1,34.0,0,1,23.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
58,607,1,27.0,0,0,30.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
59,226,1,19.0,0,0,10.5,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
60,525,0,40.5,0,0,7.75,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
61,180,0,,8,2,69.55,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
62,116,0,70.5,0,0,7.75,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
63,728,0,25.0,1,0,26.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
64,254,0,41.0,0,2,20.2125,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
65,460,1,48.0,0,0,26.55,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
66,858,1,24.0,0,3,19.2583,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
67,334,1,,1,0,133.65,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
68,314,0,43.0,1,1,26.25,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
69,842,1,30.0,0,0,31.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
70,755,1,0.67,1,1,14.5,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
71,199,0,24.0,0,0,13.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
72,184,1,4.0,0,2,22.025,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
73,822,0,38.0,0,0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
74,631,0,51.0,0,0,7.0542,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
75,165,1,9.0,0,2,20.525,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
