,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,weight
0,0,3,male,22.0,1,0,7.25,S,1
1,1,1,female,38.0,1,0,71.2833,C,1
2,1,3,female,26.0,0,0,7.925,S,1
3,1,1,female,35.0,1,0,53.1,S,1
4,0,3,male,35.0,0,0,8.05,S,1
5,0,3,male,,0,0,8.4583,Q,1
6,0,1,male,54.0,0,0,51.8625,S,1
7,0,3,male,2.0,3,1,21.075,S,1
8,1,3,female,27.0,0,2,11.1333,S,1
9,1,2,female,14.0,1,0,30.0708,C,1
10,1,3,female,4.0,1,1,16.7,S,1
11,1,1,female,58.0,0,0,26.55,S,1
12,0,3,male,20.0,0,0,8.05,S,1
13,0,3,male,39.0,1,5,31.275,S,1
14,0,3,female,14.0,0,0,7.8542,S,1
15,1,2,female,55.0,0,0,16.0,S,1
16,0,3,male,2.0,4,1,29.125,Q,1
17,1,2,male,,0,0,13.0,S,1
18,0,3,female,31.0,1,0,18.0,S,1
19,1,3,female,,0,0,7.225,C,1
20,0,2,male,35.0,0,0,26.0,S,1
21,1,2,male,34.0,0,0,13.0,S,1
22,1,3,female,15.0,0,0,8.0292,Q,1
25,1,3,female,38.0,1,5,31.3875,S,1
26,0,3,male,,0,0,7.225,C,1
27,0,1,male,19.0,3,2,263.0,S,1
29,0,3,male,,0,0,7.8958,S,1
30,0,1,male,40.0,0,0,27.7208,C,1
31,1,1,female,,1,0,146.5208,C,1
32,1,3,female,,0,0,7.75,Q,1
33,0,2,male,66.0,0,0,10.5,S,1
34,0,1,male,28.0,1,0,82.1708,C,1
35,0,1,male,42.0,1,0,52.0,S,1
37,0,3,male,21.0,0,0,8.05,S,1
39,1,3,female,14.0,1,0,11.2417,C,1
40,0,3,female,40.0,1,0,9.475,S,1
41,0,2,female,27.0,1,0,21.0,S,1
42,0,3,male,,0,0,7.8958,C,1
43,1,2,female,3.0,1,2,41.5792,C,1
44,1,3,female,19.0,0,0,7.8792,Q,1
45,0,3,male,,0,0,8.05,S,1
46,0,3,male,,1,0,15.5,Q,1
49,0,3,female,18.0,1,0,17.8,S,1
50,0,3,male,7.0,4,1,39.6875,S,1
51,0,3,male,21.0,0,0,7.8,S,1
53,1,2,female,29.0,1,0,26.0,S,1
55,1,1,male,,0,0,35.5,S,1
56,1,2,female,21.0,0,0,10.5,S,1
57,0,3,male,28.5,0,0,7.2292,C,1
58,1,2,female,5.0,1,2,27.75,S,1
59,0,3,male,11.0,5,2,46.9,S,1
60,0,3,male,22.0,0,0,7.2292,C,1
61,1,1,female,38.0,0,0,80.0,,1
62,0,1,male,45.0,1,0,83.475,S,1
63,0,3,male,4.0,3,2,27.9,S,1
64,0,1,male,,0,0,27.7208,C,1
67,0,3,male,19.0,0,0,8.1583,S,1
68,1,3,female,17.0,4,2,7.925,S,1
69,0,3,male,26.0,2,0,8.6625,S,1
71,0,3,female,16.0,5,2,46.9,S,1
72,0,2,male,21.0,0,0,73.5,S,1
74,1,3,male,32.0,0,0,56.4958,S,1
75,0,3,male,25.0,0,0,7.65,S,1
76,0,3,male,,0,0,7.8958,S,1
77,0,3,male,,0,0,8.05,S,1
79,1,3,female,30.0,0,0,12.475,S,1
82,1,3,female,,0,0,7.7875,Q,1
83,0,1,male,28.0,0,0,47.1,S,1
86,0,3,male,16.0,1,3,34.375,S,1
87,0,3,male,,0,0,8.05,S,1
89,0,3,male,24.0,0,0,8.05,S,1
90,0,3,male,29.0,0,0,8.05,S,1
91,0,3,male,20.0,0,0,7.8542,S,1
92,0,1,male,46.0,1,0,61.175,S,1
93,0,3,male,26.0,1,2,20.575,S,1
94,0,3,male,59.0,0,0,7.25,S,1
96,0,1,male,71.0,0,0,34.6542,C,1
97,1,1,male,23.0,0,1,63.3583,C,1
100,0,3,female,28.0,0,0,7.8958,S,1
101,0,3,male,,0,0,7.8958,S,1
102,0,1,male,21.0,0,1,77.2875,S,1
103,0,3,male,33.0,0,0,8.6542,S,1
104,0,3,male,37.0,2,0,7.925,S,1
106,1,3,female,21.0,0,0,7.65,S,1
107,1,3,male,,0,0,7.775,S,1
111,0,3,female,14.5,1,0,14.4542,C,1
112,0,3,male,22.0,0,0,8.05,S,1
